time_ps,write_index,bram_addr,bram_en,bram_we,bram_wrdata,writer_busy,vpp_done,mean_square_done,wave_done,error
2054235000,81,0x0014c,1,1111,0xxxxxxxxx,1,0,0,0,x
2054295000,82,0x00150,1,1111,0xxxxxxxxx,1,0,0,0,x
2054355000,83,0x00154,1,1111,0xxxxxxxxx,1,0,0,0,x
2054415000,84,0x00158,1,1111,0xxxxxxxxx,1,0,0,0,x
2054475000,85,0x0015c,1,1111,0xxxxxxxxx,1,0,0,0,x
2054535000,86,0x00160,1,1111,0xxxxxxxxx,1,0,0,0,x
2054595000,87,0x00164,1,1111,0xxxxxxxxx,1,0,0,0,x
2054655000,88,0x00168,1,1111,0xxxxxxxxx,1,0,0,0,x
2054715000,89,0x0016c,1,1111,0xxxxxxxxx,1,0,0,0,x
2054775000,90,0x00170,1,1111,0xxxxxxxxx,1,0,0,0,x
2054835000,91,0x00174,1,1111,0xxxxxxxxx,1,0,0,0,x
2054895000,92,0x00178,1,1111,0xxxxxxxxx,1,0,0,0,x
2054955000,93,0x0017c,1,1111,0xxxxxxxxx,1,0,0,0,x
2055015000,94,0x00180,1,1111,0xxxxxxxxx,1,0,0,0,x
2055075000,95,0x00184,1,1111,0xxxxxxxxx,1,0,0,0,x
2055135000,96,0x00188,1,1111,0xxxxxxxxx,1,0,0,0,x
2055195000,97,0x0018c,1,1111,0xxxxxxxxx,1,0,0,0,x
2055255000,98,0x00190,1,1111,0xxxxxxxxx,1,0,0,0,x
2055315000,99,0x00194,1,1111,0xxxxxxxxx,1,0,0,0,x
2055375000,100,0x00198,1,1111,0xxxxxxxxx,1,0,0,0,x
2055435000,101,0x0019c,1,1111,0xxxxxxxxx,1,0,0,0,x
2055495000,102,0x001a0,1,1111,0xxxxxxxxx,1,0,0,0,x
2055555000,103,0x001a4,1,1111,0xxxxxxxxx,1,0,0,0,x
2055615000,104,0x001a8,1,1111,0xxxxxxxxx,1,0,0,0,x
2055675000,105,0x001ac,1,1111,0xxxxxxxxx,1,0,0,0,x
2055735000,106,0x001b0,1,1111,0xxxxxxxxx,1,0,0,0,x
2055795000,107,0x001b4,1,1111,0xxxxxxxxx,1,0,0,0,x
2055855000,108,0x001b8,1,1111,0xxxxxxxxx,1,0,0,0,x
2055915000,109,0x001bc,1,1111,0xxxxxxxxx,1,0,0,0,x
2055975000,110,0x001c0,1,1111,0xxxxxxxxx,1,0,0,0,x
2056035000,111,0x001c4,1,1111,0xxxxxxxxx,1,0,0,0,x
2056095000,112,0x001c8,1,1111,0xxxxxxxxx,1,0,0,0,x
2056155000,113,0x001cc,1,1111,0xxxxxxxxx,1,0,0,0,x
2056215000,114,0x001d0,1,1111,0xxxxxxxxx,1,0,0,0,x
2056275000,115,0x001d4,1,1111,0xxxxxxxxx,1,0,0,0,x
2056335000,116,0x001d8,1,1111,0xxxxxxxxx,1,0,0,0,x
2056395000,117,0x001dc,1,1111,0xxxxxxxxx,1,0,0,0,x
2056455000,118,0x001e0,1,1111,0xxxxxxxxx,1,0,0,0,x
2056515000,119,0x001e4,1,1111,0xxxxxxxxx,1,0,0,0,x
2056575000,120,0x001e8,1,1111,0xxxxxxxxx,1,0,0,0,x
2056635000,121,0x001ec,1,1111,0xxxxxxxxx,1,0,0,0,x
2056695000,122,0x001f0,1,1111,0xxxxxxxxx,1,0,0,0,x
2056755000,123,0x001f4,1,1111,0xxxxxxxxx,1,0,0,0,x
2056815000,124,0x001f8,1,1111,0xxxxxxxxx,1,0,0,0,x
2056875000,125,0x001fc,1,1111,0xxxxxxxxx,1,0,0,0,x
2056935000,126,0x00200,1,1111,0xxxxxxxxx,1,0,0,0,x
2056995000,127,0x00204,1,1111,0xxxxxxxxx,1,0,0,0,x
2057055000,128,0x00208,1,1111,0xxxxxxxxx,1,0,0,0,x
2057115000,129,0x0020c,1,1111,0xxxxxxxxx,1,0,0,0,x
2057175000,130,0x00210,1,1111,0xxxxxxxxx,1,0,0,0,x
2057235000,131,0x00214,1,1111,0xxxxxxxxx,1,0,0,0,x
2057295000,132,0x00218,1,1111,0xxxxxxxxx,1,0,0,0,x
2057355000,133,0x0021c,1,1111,0xxxxxxxxx,1,0,0,0,x
2057415000,134,0x00220,1,1111,0xxxxxxxxx,1,0,0,0,x
2057475000,135,0x00224,1,1111,0xxxxxxxxx,1,0,0,0,x
2057535000,136,0x00228,1,1111,0xxxxxxxxx,1,0,0,0,x
2057595000,137,0x0022c,1,1111,0xxxxxxxxx,1,0,0,0,x
2057655000,138,0x00230,1,1111,0xxxxxxxxx,1,0,0,0,x
2057715000,139,0x00234,1,1111,0xxxxxxxxx,1,0,0,0,x
2057775000,140,0x00238,1,1111,0xxxxxxxxx,1,0,0,0,x
2057835000,141,0x0023c,1,1111,0xxxxxxxxx,1,0,0,0,x
2057895000,142,0x00240,1,1111,0xxxxxxxxx,1,0,0,0,x
2057955000,143,0x00244,1,1111,0xxxxxxxxx,1,0,0,0,x
2058015000,144,0x00248,1,1111,0xxxxxxxxx,1,0,0,0,x
2058075000,145,0x0024c,1,1111,0xxxxxxxxx,1,0,0,0,x
2058135000,146,0x00250,1,1111,0xxxxxxxxx,1,0,0,0,x
2058195000,147,0x00254,1,1111,0xxxxxxxxx,1,0,0,0,x
2058255000,148,0x00258,1,1111,0xxxxxxxxx,1,0,0,0,x
2058315000,149,0x0025c,1,1111,0xxxxxxxxx,1,0,0,0,x
2058375000,150,0x00260,1,1111,0xxxxxxxxx,1,0,0,0,x
2058435000,151,0x00264,1,1111,0xxxxxxxxx,1,0,0,0,x
2058495000,152,0x00268,1,1111,0xxxxxxxxx,1,0,0,0,x
2058555000,153,0x0026c,1,1111,0xxxxxxxxx,1,0,0,0,x
2058615000,154,0x00270,1,1111,0xxxxxxxxx,1,0,0,0,x
2058675000,155,0x00274,1,1111,0xxxxxxxxx,1,0,0,0,x
2058735000,156,0x00278,1,1111,0xxxxxxxxx,1,0,0,0,x
2058795000,157,0x0027c,1,1111,0xxxxxxxxx,1,0,0,0,x
2058855000,158,0x00280,1,1111,0xxxxxxxxx,1,0,0,0,x
2058915000,159,0x00284,1,1111,0xxxxxxxxx,1,0,0,0,x
2058975000,160,0x00288,1,1111,0xxxxxxxxx,1,0,0,0,x
2059035000,161,0x0028c,1,1111,0xxxxxxxxx,1,0,0,0,x
2059095000,162,0x00290,1,1111,0xxxxxxxxx,1,0,0,0,x
2059155000,163,0x00294,1,1111,0xxxxxxxxx,1,0,0,0,x
2059215000,164,0x00298,1,1111,0xxxxxxxxx,1,0,0,0,x
