index,data,first,last
377,70,0,0
378,73,0,0
379,73,0,0
380,70,0,0
381,63,0,0
382,52,0,0
383,37,0,0
384,19,0,0
385,-1,0,0
386,-25,0,0
387,-54,0,0
388,-83,0,0
389,-113,0,0
390,-147,0,0
391,-178,0,0
392,-208,0,0
393,-241,0,0
394,-270,0,0
395,-294,0,0
396,-318,0,0
397,-336,0,0
398,-347,0,0
399,-356,0,0
400,-360,0,0
401,-358,0,0
402,-349,0,0
403,-336,0,0
404,-316,0,0
405,-290,0,0
406,-261,0,0
407,-226,0,0
408,-188,0,0
409,-148,0,0
410,-106,0,0
411,-58,0,0
412,-11,0,0
413,34,0,0
414,81,0,0
415,127,0,0
416,169,0,0
417,210,0,0
418,246,0,0
419,277,0,0
420,304,0,0
421,326,0,0
422,342,0,0
423,353,0,0
424,360,0,0
425,359,0,0
426,352,0,0
427,341,0,0
428,324,0,0
429,304,0,0
430,279,0,0
431,253,0,0
432,225,0,0
433,192,0,0
434,161,0,0
435,128,0,0
436,95,0,0
437,64,0,0
438,35,0,0
439,10,0,0
440,-12,0,0
441,-32,0,0
442,-51,0,0
443,-62,0,0
444,-70,0,0
445,-77,0,0
446,-77,0,0
447,-73,0,0
448,-68,0,0
449,-59,0,0
450,-45,0,0
451,-33,0,0
452,-18,0,0
453,-1,0,0
454,16,0,0
455,30,0,0
456,43,0,0
457,54,0,0
458,62,0,0
459,70,0,0
460,74,0,0
461,73,0,0
462,70,0,0
463,62,0,0
464,49,0,0
465,33,0,0
466,13,0,0
467,-9,0,0
468,-35,0,0
469,-63,0,0
470,-93,0,0
471,-128,0,0
472,-160,0,0
473,-191,0,0
474,-222,0,0
475,-251,0,0
476,-279,0,0
477,-304,0,0
478,-325,0,0
479,-340,0,0
480,-350,0,0
481,-357,0,0
482,-359,0,0
483,-356,0,0
484,-345,0,0
485,-329,0,0
486,-309,0,0
487,-280,0,0
488,-250,0,0
489,-213,0,0
490,-173,0,0
491,-131,0,0
492,-85,0,0
493,-40,0,0
494,7,0,0
495,53,0,0
496,99,0,0
497,143,0,0
498,186,0,0
499,226,0,0
500,259,0,0
501,287,0,0
502,315,0,0
503,333,0,0
504,347,0,0
505,357,0,0
506,358,0,0
507,355,0,0
508,348,0,0
509,336,0,0
510,318,0,0
511,296,0,0
512,271,0,0
513,243,0,0
514,211,0,0
515,180,0,0
516,149,0,0
517,116,0,0
518,83,0,0
519,53,0,0
520,26,0,0
521,3,0,0
522,-20,0,0
523,-39,0,0
524,-54,0,0
525,-65,0,0
526,-72,0,0
527,-76,0,0
528,-74,0,0
529,-70,0,0
530,-62,0,0
531,-51,0,0
532,-41,0,0
533,-28,0,0
534,-12,0,0
535,4,0,0
536,21,0,0
537,35,0,0
538,46,0,0
539,59,0,0
540,69,0,0
541,72,0,0
542,74,0,0
543,73,0,0
544,66,0,0
545,57,0,0
546,44,0,0
547,26,0,0
548,6,0,0
549,-19,0,0
550,-46,0,0
551,-75,0,0
552,-105,0,0
553,-138,0,0
554,-170,0,0
555,-202,0,0
556,-234,0,0
557,-261,0,0
558,-286,0,0
559,-312,0,0
560,-332,0,0
561,-345,0,0
562,-356,0,0
563,-362,0,0
564,-360,0,0
565,-352,0,0
566,-340,0,0
567,-322,0,0
568,-299,0,0
569,-270,0,0
570,-236,0,0
571,-201,0,0
572,-159,0,0
573,-113,0,0
574,-69,0,0
575,-24,0,0
576,23,0,0
577,72,0,0
578,118,0,0
579,160,0,0
580,199,0,0
581,236,0,0
582,269,0,0
583,297,0,0
584,321,0,0
585,339,0,0
586,351,0,0
587,359,0,0
588,359,0,0
589,354,0,0
590,344,0,0
591,328,0,0
592,309,0,0
593,286,0,0
594,260,0,0
595,233,0,0
596,202,0,0
597,169,0,0
598,136,0,0
599,103,0,0
600,73,0,0
601,45,0,0
602,17,0,0
603,-8,0,0
604,-27,0,0
605,-43,0,0
606,-59,0,0
607,-69,0,0
608,-75,0,0
609,-77,0,0
610,-73,0,0
611,-68,0,0
612,-59,0,0
613,-48,0,0
614,-35,0,0
615,-20,0,0
616,-6,0,0
617,10,0,0
618,26,0,0
619,39,0,0
620,53,0,0
621,61,0,0
622,69,0,0
623,73,0,0
624,73,0,0
625,71,0,0
626,61,0,0
627,52,0,0
628,39,0,0
629,20,0,0
630,-4,0,0
631,-31,0,0
632,-56,0,0
633,-86,0,0
634,-119,0,0
635,-152,0,0
636,-182,0,0
637,-214,0,0
638,-245,0,0
639,-272,0,0
640,-296,0,0
641,-319,0,0
642,-335,0,0
643,-348,0,0
644,-358,0,0
645,-362,0,0
646,-357,0,0
647,-347,0,0
648,-333,0,0
649,-313,0,0
650,-289,0,0
651,-261,0,0
652,-225,0,0
653,-186,0,0
654,-145,0,0
655,-99,0,0
656,-52,0,0
657,-8,0,0
658,39,0,0
659,86,0,0
660,131,0,0
661,174,0,0
662,215,0,0
663,250,0,0
664,282,0,0
665,309,0,0
666,328,0,0
667,343,0,0
668,353,0,0
669,356,0,0
670,355,0,0
671,350,0,0
672,338,0,0
673,322,0,0
674,302,0,0
675,277,0,0
676,250,0,0
677,220,0,0
678,189,0,0
679,157,0,0
680,124,0,0
681,95,0,0
682,64,0,0
683,34,0,0
684,9,0,0
685,-14,0,0
686,-35,0,0
687,-51,0,0
688,-62,0,0
689,-70,0,0
690,-75,0,0
691,-74,0,0
692,-72,0,0
693,-67,0,0
694,-55,0,0
695,-43,0,0
696,-30,0,0
697,-12,0,0
698,3,0,0
699,17,0,0
700,31,0,0
701,44,0,0
702,56,0,0
703,66,0,0
704,72,0,0
705,75,0,0
706,72,0,0
707,68,0,0
708,63,0,0
709,48,0,0
710,32,0,0
711,12,0,0
712,-12,0,0
713,-37,0,0
714,-65,0,0
715,-98,0,0
716,-131,0,0
717,-162,0,0
718,-193,0,0
719,-224,0,0
720,-254,0,0
721,-282,0,0
722,-305,0,0
723,-325,0,0
724,-341,0,0
725,-354,0,0
726,-358,0,0
727,-358,0,0
728,-353,0,0
729,-343,0,0
730,-327,0,0
731,-303,0,0
732,-277,0,0
733,-246,0,0
734,-211,0,0
735,-171,0,0
736,-128,0,0
737,-83,0,0
738,-36,0,0
739,10,0,0
740,56,0,0
741,103,0,0
742,148,0,0
743,190,0,0
744,226,0,0
745,260,0,0
746,293,0,0
747,317,0,0
748,335,0,0
749,350,0,0
750,357,0,0
751,358,0,0
752,356,0,0
753,346,0,0
754,333,0,0
755,318,0,0
756,294,0,0
757,265,0,0
758,239,0,0
759,210,0,0
760,177,0,0
761,145,0,0
762,113,0,0
763,81,0,0
764,52,0,0
765,24,0,0
766,0,0,0
767,-21,0,0
768,-41,0,0
769,-56,0,0
770,-66,0,0
771,-75,0,0
772,-79,0,0
773,-75,0,0
774,-69,0,0
775,-62,0,0
776,-51,0,0
777,-39,0,0
778,-28,0,0
779,-11,0,0
780,8,0,0
781,22,0,0
782,36,0,0
783,50,0,0
784,61,0,0
785,69,0,0
786,73,0,0
787,76,0,0
788,75,0,0
789,65,0,0
790,57,0,0
791,43,0,0
792,24,0,0
793,4,0,0
794,-22,0,0
795,-51,0,0
796,-79,0,0
797,-110,0,0
798,-142,0,0
799,-174,0,0
800,-205,0,0
801,-236,0,0
802,-264,0,0
803,-290,0,0
804,-313,0,0
805,-333,0,0
806,-347,0,0
807,-356,0,0
808,-360,0,0
809,-359,0,0
810,-352,0,0
811,-338,0,0
812,-321,0,0
813,-294,0,0
814,-264,0,0
815,-235,0,0
816,-197,0,0
817,-155,0,0
818,-111,0,0
819,-66,0,0
820,-20,0,0
821,29,0,0
822,75,0,0
823,118,0,0
824,163,0,0
825,203,0,0
826,239,0,0
827,274,0,0
828,301,0,0
829,323,0,0
830,341,0,0
831,351,0,0
832,357,0,0
833,358,0,0
834,355,0,0
835,345,0,0
836,328,0,0
837,307,0,0
838,285,0,0
839,258,0,0
840,229,0,0
841,198,0,0
842,165,0,0
843,133,0,0
844,103,0,0
845,73,0,0
846,43,0,0
847,13,0,0
848,-10,0,0
849,-28,0,0
850,-47,0,0
851,-62,0,0
852,-69,0,0
853,-75,0,0
854,-77,0,0
855,-73,0,0
856,-67,0,0
857,-60,0,0
858,-48,0,0
859,-33,0,0
860,-18,0,0
861,-2,0,0
